,count,percentile,highly_variable,highly_variable_rank,means,variances,variances_norm,dispersions,dispersions_norm,chrom,peak_type,manual_annotation_peaks,leiden_r1,gene_body_overlaps,nearest_gene,distance_to_tss,distance_to_tss_binned,accessibility_notochord,accessibility_spinal_cord,accessibility_primordial_germ_cells,accessibility_NMPs,accessibility_neural,accessibility_neural_floor_plate,accessibility_neural_optic,accessibility_hatching_gland,accessibility_PSM,accessibility_neural_crest,accessibility_neural_telencephalon,accessibility_endoderm,accessibility_lateral_plate_mesoderm,accessibility_endocrine_pancreas,accessibility_epidermis,accessibility_neurons,accessibility_fast_muscle,accessibility_hemangioblasts,accessibility_differentiating_neurons,accessibility_optic_cup,accessibility_hindbrain,accessibility_pharyngeal_arches,accessibility_tail_bud,accessibility_hematopoietic_vasculature,accessibility_midbrain_hindbrain_boundary,accessibility_muscle,accessibility_floor_plate,accessibility_pronephros,accessibility_enteric_neurons,accessibility_heart_myocardium,accessibility_somites,accessibility_neural_posterior,accessibility_15somites,accessibility_0somites,accessibility_10somites,accessibility_5somites,accessibility_30somites,accessibility_20somites,timepoint,timepoint_contrast,celltype,celltype_contrast,associated_gene,association_type,n_overlapping_genes,celltype_timepoint,leiden_0.7,leiden_0.5,leiden_0.3,leiden_1,optic_cup_subclust,linked_gene,link_score,link_zscore,link_pvalue,is_linked,hemato_manual,leiden,timepoint_numeric,leiden_0.7_integer,leiden_integer,Pseudotime,leiden_0.7_sub,leiden_1_sub
1-471126-472745,15544.0,0.9627891154339502,True,,5.642324904778311e-06,22312.94788893489,0.7658513469735996,-11.34156643395584,2.185072243343352,1,promoter,muscle,9,zgc:92518,zgc:92518,10.0,0-10000bp,2.276568780885431,3.9121993500422647,1.8897156715796934,3.393468310066093,3.2905298501953624,4.2390103091234215,2.586684105373027,1.4130134253256728,26.21047989718846,4.006053918250958,1.7758717162137947,2.673696207951227,4.07941111775527,2.3817756644707764,3.656536502786669,3.5881090489918854,48.20572018807768,0.742193497876634,5.696907484941257,1.0247532459631625,3.4221288494415023,7.759044212432475,5.268124179614024,1.8123335026971295,3.3127241870728388,44.005093101213525,2.8607609309338833,7.575318505012627,5.061546721324827,6.374934971333543,57.5324756187401,3.5243246785901077,45.26427171315053,55.99570069895434,44.971298615665695,57.9743295850608,31.227837512022873,40.11806962661109,5somites,1.7976632662454648,fast_muscle,5.082207479101545,zgc:92518,single_overlap,1,fast_muscle_5somites,11,12,4,8,unassigned,zgc:92518,0.0584994356213266,4.58651625800107,2.25351660434248e-06,Linked,unassigned,1,5.0,1,1,4.560220498799725,1,8
1-706447-706715,539.0,0.30045378366316394,True,,1.1716242353284195e-06,178.21107814034136,0.8252411843435092,-11.9305153218213,1.6608773641736168,1,intronic,unassigned,4,adamts5,adamts5,8045.0,0-10000bp,9.733300498611523,-2.2382757634137453,0.7289587875014922,1.9728243849294085,-2.1608064959904763,-2.1389073372434484,-2.402254358143702,5.409218864438479,-1.7171290760687428,-1.0762497948111502,-1.702898393475369,-0.27382389660938644,-1.950644326758865,-0.8650756221899376,-1.6781403378252953,-1.7913475579746359,-0.6785039208641077,-1.689826927732297,-2.501157071829689,-1.668740910334635,-2.1978591671720817,-0.8656784332159227,-0.15455272326729685,-1.8878935265903678,-2.3860597156079066,-0.48616752066436575,-1.492813458444025,-1.3078269999190153,-1.5890829875984225,-1.3402977144825532,-2.347239279837122,-1.7652231734097419,-2.349839946973159,-5.275028684036806,-4.29704520093465,-5.957106208452528,-5.292849020664302,-3.3383048949319543,15somites,2.7109721812229286,notochord,7.0170267234293435,adamts5,single_overlap,1,notochord_15somites,8,11,4,34,unassigned,,,,,Not linked,unassigned,4,15.0,0,4,7.761003878180647,2,10
1-1141452-1143449,3851.0,0.8674883043034546,True,,3.3159704728156336e-06,4018.675785758459,0.8963927487590194,-11.406740653630434,1.9272041305687,1,intergenic,unassigned,12,,,,,15.785741307787596,0.6907543496169105,-0.3870962551435868,40.88067407691452,1.3027930872326223,-0.17994301593343195,0.388109060218158,0.9903942752669997,6.497590265458491,0.8394789197455519,0.012115646462983826,9.773146490915025,0.49375805309477233,0.9179908099626544,1.3859050201941103,0.9794003146647203,-0.1434255940636196,0.2668328057706491,0.24438088062413593,-0.22355572322731987,0.15366551399388773,-1.025910320685627,25.646509195509154,-0.655969561657306,0.9434211079765205,5.593831524771698,0.5801424971992235,6.471450637561323,-0.11756555941894788,1.3336122555017376,1.4072997041994173,-0.055652203833138694,24.860069912176392,15.817854300262749,26.667174335837394,19.01425156133636,4.634232921761518,29.796296535305476,20somites,1.4814799878684963,NMPs,6.889809836341326,,,0,NMPs_20somites,8,11,4,14,unassigned,,,,,Not linked,unassigned,2,20.0,0,2,2.2055471899524877,4,3
1-1399489-1400437,1237.0,0.624314565082377,True,,1.5728108039096966e-06,567.5143824140363,0.8191094075712168,-11.615755781399102,1.7210839298529752,1,intronic,unassigned,16,runx1,runx1,2340.0,0-10000bp,-1.0798219099389301,-0.6876877413599014,-2.2224741032543944,4.345718530863158,1.0628676766731355,-0.2359941544048818,-1.1705460797601774,-0.17555196374601564,-0.008802702767503445,1.2848417446224054,0.5625347507841871,0.004166629433465442,0.5258317917285935,-0.041631376396012554,0.16307564550143006,-0.9583186249012271,-0.9431811887333176,5.848070147701036,-1.0996351979036065,-1.0354706927655022,-1.2672317706432286,-0.3268098900313847,-0.8897981756378494,1.0627045146175194,-0.9135778480496991,-1.14190262499501,-1.0124946569380737,1.801678046387042,0.8657311734238411,-0.4344971838094727,-1.5147039843975256,-1.077613747639329,0.6006742400201086,0.001866252554430542,0.7026646549216521,-2.3352897056914386,-2.2010195018555248,2.5205790937135397,20somites,2.351966286686769,hemangioblasts,4.874092131457549,runx1,single_overlap,1,hemangioblasts_20somites,8,2,6,22,unassigned,,,,,Not linked,unassigned,5,20.0,0,5,6.015169416860432,3,1
1-2520868-2521638,5558.0,0.9042076419166274,True,25801.0,2.4707109086326986e-06,23624.701567111606,1.870764544879328,-11.380960029637224,2.0078200075181196,1,intergenic,muscle,12,,,,,-0.9452023682422017,-1.0935277288195677,-2.2224741032543944,5.915425284247969,-1.9459639487454456,-1.5252647783528461,-0.7570271267281873,-1.1858996304924703,35.12321215701563,-1.1478734943832498,-1.3358766091218304,0.557194113266636,-0.8556467495813128,-1.7618498221762111,-0.537086441799968,-1.41656852366857,-1.0190034132029346,-0.10593701279816847,-0.7533457837576123,-1.520492642406269,-0.9496019733634237,-0.9299223457637087,30.404789407838976,-1.7174597742699038,-1.3177723796962368,27.739598043922314,-1.689052978345428,3.018102661501202,-1.4695746567125307,-0.3193640052649881,-0.5258465058658419,-1.4119800908112552,14.187722955899384,25.305750267185186,15.125113375340126,21.432858887612415,-7.9966832622397455,4.243944556370801,0somites,1.5454504900801533,PSM,4.456101509907677,,,0,PSM_0somites,8,11,4,14,unassigned,,,,,Not linked,unassigned,3,0.0,0,3,0.4723937708638576,5,5
1-4474866-4475892,3788.0,0.8654721815634002,True,,2.9082317830724994e-06,8409.688694947188,1.0845054056730297,-11.677978281361215,1.5989284748475072,1,intergenic,PSM,12,,,,,26.96590716089599,-1.6037549376020954,-2.2224741032543944,14.592654306608637,-1.120476619194673,-1.8993507834309353,-1.7713649095568673,-1.216955862065031,27.011148367614197,-0.7428664857812399,-1.4318969516739661,3.8078448986981854,0.8692305584754999,0.12625943191807887,-1.7312361910973504,-1.3840829512367967,1.5228315953112825,-1.13478083105707,-0.09711004288103177,-1.7285989028926696,-1.7849981778428199,-0.34262786322968297,25.04481790710632,-0.8970687999752631,-1.6161587634878354,21.79657547591874,-1.0798020578482639,1.9122334684383324,1.8512763393045066,-0.887680326056166,1.3951922331048907,-1.1936502421257285,24.31282185043629,12.239916982859707,20.15285544557793,13.657642496134994,2.712477120588714,27.933322045507143,20somites,1.8025765747233689,PSM,3.065669665277143,,,0,PSM_20somites,8,11,4,14,unassigned,,,,,Not linked,unassigned,2,20.0,0,2,1.4591922226727776,6,6
1-5118844-5119568,2161.0,0.7760496478027071,True,16209.0,2.35505085543803e-06,4003.152859256255,2.172605592848579,-11.069648818292901,2.436388008323721,1,intergenic,unassigned,12,,FQ790365.1,40718.0,40000-50000bp,-1.326002059701701,-1.1918238729219786,1.8386038108404208,4.812930568336049,-1.845825118191256,-1.0144577153634025,-0.7827822553482969,-2.0893596386322115,22.90536129674469,-1.6797438175006953,-0.7004845770831902,-1.2406213157329549,-1.7783796737339728,-2.099110749508518,-1.7323805240558556,-1.1253060522597171,-1.656144466452786,0.060579394244203444,-1.8340208192449439,-1.3477748193616816,-0.9123325380830193,-0.6766299872270574,19.880965962601614,-1.578708341603905,-0.7506498376668171,5.509755971195345,-0.8144334235644436,0.2506918719943934,-2.216918835690684,-1.3304812726809068,9.778722936746277,-1.415133777185483,11.682192172048332,-4.058775953168507,10.609808388998896,-2.26331941456252,1.8548228604734232,14.073378270117889,20somites,1.6194282707636192,PSM,5.599721842160615,FQ790365.1,nearest_only,0,PSM_20somites,8,11,4,14,unassigned,,,,,Not linked,unassigned,2,20.0,0,2,2.160171570278122,6,6
1-5200322-5200881,11646.0,0.9508765140426382,True,,4.793218811753075e-06,17913.316130523042,0.7164293107294973,-11.527971632977918,1.8620959791073974,1,intergenic,PSM,12,,,,,0.18322264703683955,4.351235597200938,-2.2224741032543944,1.6584586433482338,3.8408647729848644,8.947611235302764,12.96162529815249,1.5266212463572397,33.56223559443718,7.670537485297542,1.9156033883227344,3.2419709813385156,-0.7569956746485815,0.41159507018516456,0.3996094535104228,1.1005368891059082,3.4293737177932293,0.5185969072209451,3.7366449024817148,2.992044064151037,3.197900076838789,0.24620315521337,29.013443513930305,-0.16098295534790902,9.431749946163325,10.212454821800923,13.27192945084359,4.134972854106195,0.5648552237663824,6.468320068524478,10.814010963058607,2.254654797531087,33.33992285347179,15.942777542383727,22.685906593284642,16.97701647104221,45.30415289635173,44.66865367621984,30somites,1.7057464248919445,PSM,4.836585686360341,,,0,PSM_30somites,8,11,4,14,unassigned,,,,,Not linked,unassigned,3,30.0,0,3,0.750467844046316,5,5
1-5238410-5238960,11267.0,0.9493581801215292,True,,3.924351023351327e-06,31752.928859462314,0.6032603534480705,-11.552550165062346,1.7736697963566586,1,intergenic,PSM,12,,spry2,34795.0,30000-40000bp,16.628194060752868,4.745349243876943,-1.1178370677740888,16.76803560385777,0.4220682244105554,0.5406736704742389,0.6029160064089073,-1.3586877074336774,43.302147979838466,2.422779875507996,-0.577630039963297,2.15816045788134,-0.6262172956159163,-1.4837103530974793,0.1454936187176516,0.4669856372573514,5.9566016654214,-0.3545341999894468,4.184709248661325,-1.303096361354179,0.43028871252940837,-0.9617452472611443,42.3831670340167,1.3499976822657231,-0.2318864088402421,23.89257171594361,-0.48211462843059805,4.684618411517319,3.6486111461369157,-0.8502305058319812,13.732229493392234,-0.7909454774757316,34.352368419344806,42.07697682851862,37.5846220186126,42.56980746859016,-2.8713625934737763,24.614552054208527,5somites,0.959430000050705,PSM,4.24226975043666,spry2,nearest_only,0,PSM_5somites,8,11,4,14,unassigned,,,,,Not linked,unassigned,3,5.0,0,3,0.08154446683205412,5,5
1-5465437-5466133,16120.0,0.9641950957658302,True,,4.756247265330976e-06,27366.73534435775,1.2525161863451921,-11.643176039945628,1.6977282476445192,1,intronic,NMPs,12,atic,mnx2b,10283.0,10000-20000bp,20.645419415877825,23.681039350183838,2.596911671472667,39.837143239555374,-1.236433395009032,-1.5573594613883226,-1.501653943004276,-0.8364755878391965,19.648193859816022,9.566582804549826,-0.7729588519550067,55.45276465732479,-0.4333034334495146,5.194138130217443,8.92735843951397,1.0191856237939922,0.22297037301451217,9.870069197197026,2.1937158578267395,-1.4778320581880684,-0.7713742570382213,-1.1694812552369318,23.851533080587895,0.42095056604108794,-1.537478733836564,6.515408737983847,-0.6267852859338114,45.03079062298693,6.566763920478152,6.647004683808729,4.752845752014367,-0.06521678807831388,35.57114459750198,92.85128116614815,50.32659208557541,81.01438729203448,-1.6323449707851212,22.52337676281284,0somites,2.0010357444727394,endoderm,3.9767925709090184,atic,single_overlap,1,endoderm_0somites,8,11,4,14,unassigned,mnx2b,0.10295445257753,18.994147857913,9.53285077746098e-81,Linked,unassigned,3,0.0,0,3,0.0,7,4
