Peak1,Peak2,coaccess
chr4-22081788-22083032,chr2-27735830-27736360,0.530369297240521
chr4-22081788-22083032,chr2-43734783-43735938,0.40494916305269396
chr4-22081788-22083032,chr4-32943512-32945296,0.7789000397274981
chr4-22081788-22083032,chr3-33049003-33050793,0.6547204563852209
chr4-22081788-22083032,chr5-11959014-11960511,0.7328815518096954
chr4-22081788-22083032,chr2-45738553-45739529,0.5889922486977561
chr4-22081788-22083032,chr5-38049111-38049527,0.8737026336790303
chr4-22081788-22083032,chr5-37898446-37899840,0.6723332565069795
chr4-22081788-22083032,chr4-45066131-45067685,0.7831192385444552
chr4-22081788-22083032,chr1-28948416-28950016,0.5020911153161217
chr4-22081788-22083032,chr3-23474685-23475517,0.7638866076943607
chr4-22081788-22083032,chr4-42878167-42879764,0.8173805936088876
chr4-22081788-22083032,chr2-41038963-41040454,0.7494263493674049
chr4-22081788-22083032,chr5-16421040-16422191,0.3163285666295352
chr4-22081788-22083032,chr5-6674719-6676167,0.7546866957304378
chr4-22081788-22083032,chr4-12718070-12718472,0.5190857768407473
chr4-22081788-22083032,chr3-34436048-34437014,0.6818384819135788
chr4-22081788-22083032,chr3-4612600-4613272,0.44613877070343744
chr4-22081788-22083032,chr1-24448674-24450556,0.6922214378818222
chr4-22081788-22083032,chr5-12471761-12472838,0.4171161874313453
chr2-27735830-27736360,chr3-30210711-30212307,0.5283160405786972
chr2-27735830-27736360,chr4-32943512-32945296,0.4312552259749562
chr2-27735830-27736360,chr3-11642490-11643200,0.3231957885930803
chr2-27735830-27736360,chr4-3428388-3429234,0.40502160587919767
chr2-27735830-27736360,chr4-21193880-21194395,0.38120134657137394
chr2-27735830-27736360,chr2-17845364-17846461,0.4952449016126177
chr2-27735830-27736360,chr4-29563547-29565137,0.8028289161567514
chr2-27735830-27736360,chr3-14187277-14188581,0.6692172924163202
chr2-27735830-27736360,chr4-45500529-45502140,0.5974395646332336
chr2-27735830-27736360,chr2-23335235-23336935,0.5982302446475816
chr2-27735830-27736360,chr3-20009001-20009431,0.3623716153725267
chr2-27735830-27736360,chr2-7914550-7915516,0.6589555043891282
chr2-27735830-27736360,chr5-44156515-44157239,0.37158687555420583
chr2-27735830-27736360,chr4-30193243-30195086,0.8600298371878778
chr2-27735830-27736360,chr2-24477595-24479291,0.8337419106874002
chr2-27735830-27736360,chr4-38876684-38878652,0.8731233564708483
chr2-27735830-27736360,chr1-19273392-19275112,0.4067724781252803
chr2-27735830-27736360,chr5-16421040-16422191,0.8990310897754463
chr2-27735830-27736360,chr5-6674719-6676167,0.8531976570993927
chr2-27735830-27736360,chr1-23277522-23279383,0.5083739612514988
chr2-27735830-27736360,chr2-22808811-22809740,0.8720773678387264
chr2-27735830-27736360,chr5-32378291-32380124,0.5664565761258149
chr2-27735830-27736360,chr3-17887294-17888245,0.8336093581392494
chr2-27735830-27736360,chr3-25435642-25436244,0.6022495565260129
chr2-27735830-27736360,chr2-34267858-34269229,0.7896567687723584
chr2-27735830-27736360,chr2-42167719-42168559,0.3447041404416398
chr2-27735830-27736360,chr2-13105878-13107516,0.6290903884112014
chr2-27735830-27736360,chr4-14228175-14228720,0.6548138795308697
chr2-27735830-27736360,chr1-24448674-24450556,0.5631738287092016
chr2-27735830-27736360,chr3-7041495-7042322,0.8090599511773089
chr2-27735830-27736360,chr3-24101383-24103026,0.7602148941394801
chr3-30210711-30212307,chr4-10628519-10630406,0.5970899121963145
chr3-30210711-30212307,chr4-32943512-32945296,0.4046745476325208
chr3-30210711-30212307,chr3-11642490-11643200,0.8936023057533735
chr3-30210711-30212307,chr4-3428388-3429234,0.4792128637979739
chr3-30210711-30212307,chr2-45738553-45739529,0.5769557476753067
chr3-30210711-30212307,chr2-17845364-17846461,0.6256220833497024
chr3-30210711-30212307,chr4-29563547-29565137,0.6815612745357076
chr3-30210711-30212307,chr4-3669995-3670703,0.6282515353607754
chr3-30210711-30212307,chr3-14187277-14188581,0.5404262602029203
chr3-30210711-30212307,chr2-28891752-28893003,0.5756503010115641
chr3-30210711-30212307,chr5-47626914-47627797,0.6894414521764765
chr3-30210711-30212307,chr2-43065449-43066540,0.40712349274007104
chr3-30210711-30212307,chr4-6654237-6654921,0.8561188475562995
chr3-30210711-30212307,chr5-37898446-37899840,0.8818874554147211
chr3-30210711-30212307,chr5-44156515-44157239,0.6798553580647234
chr3-30210711-30212307,chr3-32288562-32289871,0.4797985027123889
chr3-30210711-30212307,chr4-34598017-34598898,0.3020500012103353
chr3-30210711-30212307,chr5-37093880-37095092,0.6558621899023146
chr3-30210711-30212307,chr2-40280002-40281338,0.4386250770091728
chr3-30210711-30212307,chr1-5965050-5965362,0.3834227089460401
chr3-30210711-30212307,chr2-12506305-12506724,0.5226294700567519
chr3-30210711-30212307,chr2-22808811-22809740,0.39923709478457214
chr3-30210711-30212307,chr4-12718070-12718472,0.5411952104719875
chr3-30210711-30212307,chr4-13984808-13985936,0.4295026668658666
chr3-30210711-30212307,chr2-42167719-42168559,0.8287788400029059
chr3-30210711-30212307,chr1-5341747-5343542,0.691460820169383
chr3-30210711-30212307,chr3-6184502-6184710,0.7305034906607906
chr3-30210711-30212307,chr1-24448674-24450556,0.3669492685260432
chr3-30210711-30212307,chr3-24101383-24103026,0.36663896328941487
chr3-30210711-30212307,chr5-12471761-12472838,0.302681332799482
chr3-30210711-30212307,chr3-49688847-49690003,0.6503388316797932
chr4-10628519-10630406,chr3-22300885-22302417,0.536090701933269
chr4-10628519-10630406,chr2-40219221-40219673,0.38586171915896583
chr4-10628519-10630406,chr3-33049003-33050793,0.7781315445623329
chr4-10628519-10630406,chr4-45500529-45502140,0.6816189222258919
chr4-10628519-10630406,chr2-41835801-41837580,0.32263245161546555
chr4-10628519-10630406,chr2-20435721-20436916,0.42141791667791384
chr4-10628519-10630406,chr4-35561725-35562220,0.3429700135268082
chr4-10628519-10630406,chr5-38049111-38049527,0.7812442660048746
chr4-10628519-10630406,chr4-45556780-45558044,0.8447576681312616
chr4-10628519-10630406,chr1-11788678-11789398,0.3429162316615243
chr4-10628519-10630406,chr1-49170987-49171834,0.6354529419985759
chr4-10628519-10630406,chr3-20009001-20009431,0.6189007610918311
chr4-10628519-10630406,chr3-15881728-15883690,0.38757890792218763
chr4-10628519-10630406,chr2-7914550-7915516,0.465489314780996
chr4-10628519-10630406,chr5-1769598-1770661,0.7396822590694335
chr4-10628519-10630406,chr2-24477595-24479291,0.3256169817939889
chr4-10628519-10630406,chr3-23474685-23475517,0.8753581237935462
chr4-10628519-10630406,chr4-38876684-38878652,0.6176947162112225
chr4-10628519-10630406,chr5-22200096-22201553,0.89124092429822
chr4-10628519-10630406,chr4-12718070-12718472,0.783365987097492
chr4-10628519-10630406,chr3-34436048-34437014,0.5167362495586454
chr4-10628519-10630406,chr5-32378291-32380124,0.5109442688304418
chr4-10628519-10630406,chr3-25435642-25436244,0.8534983258492064
chr4-10628519-10630406,chr2-35109026-35109488,0.8945077644996078
chr4-10628519-10630406,chr1-5341747-5343542,0.8890348806161574
chr4-10628519-10630406,chr1-33114689-33115785,0.5627385820376505
chr4-10628519-10630406,chr3-6184502-6184710,0.39662231442228085
chr4-10628519-10630406,chr1-24448674-24450556,0.7321362346237759
chr4-10628519-10630406,chr1-18395683-18396043,0.3820987248984469
chr3-22300885-22302417,chr2-14953367-14955082,0.860064017993883
chr3-22300885-22302417,chr2-43734783-43735938,0.6945297196089886
chr3-22300885-22302417,chr3-11642490-11643200,0.4619010002694603
chr3-22300885-22302417,chr4-21193880-21194395,0.6472693232839583
chr3-22300885-22302417,chr4-29563547-29565137,0.7072909004444092
chr3-22300885-22302417,chr4-45500529-45502140,0.32081174112381416
chr3-22300885-22302417,chr2-23335235-23336935,0.5273808762110701
chr3-22300885-22302417,chr5-25584529-25585607,0.7241517444475364
chr3-22300885-22302417,chr5-38049111-38049527,0.30009929790068673
chr3-22300885-22302417,chr4-45556780-45558044,0.6700355089675424
chr3-22300885-22302417,chr1-49170987-49171834,0.6804356346326945
chr3-22300885-22302417,chr3-49715250-49716042,0.38503579905983865
chr3-22300885-22302417,chr5-47626914-47627797,0.8358520438146049
chr3-22300885-22302417,chr5-13722094-13723779,0.6770717050403166
chr3-22300885-22302417,chr5-37898446-37899840,0.8191022840917983
chr3-22300885-22302417,chr5-44156515-44157239,0.6795988842006253
chr3-22300885-22302417,chr3-32288562-32289871,0.4715031624638739
chr3-22300885-22302417,chr4-34598017-34598898,0.38243657286752464
chr3-22300885-22302417,chr5-37093880-37095092,0.49072918919130215
chr3-22300885-22302417,chr3-30859174-30860083,0.4037713669441912
chr3-22300885-22302417,chr4-42878167-42879764,0.726071557442689
chr3-22300885-22302417,chr1-19273392-19275112,0.5175223014011795
chr3-22300885-22302417,chr2-12506305-12506724,0.6165973951260608
chr3-22300885-22302417,chr4-12718070-12718472,0.8564458540335433
chr3-22300885-22302417,chr3-34436048-34437014,0.3508905861208921
chr3-22300885-22302417,chr3-4612600-4613272,0.7918624146159908
chr3-22300885-22302417,chr4-14228175-14228720,0.7291772375688228
chr3-22300885-22302417,chr3-24101383-24103026,0.6117990633758665
chr3-22300885-22302417,chr4-12002109-12003559,0.37874678541032525
chr3-22300885-22302417,chr5-12471761-12472838,0.8429190909462347
chr3-22300885-22302417,chr1-18395683-18396043,0.40931581121357535
chr3-22300885-22302417,chr4-13344096-13344693,0.43937579460257603
chr2-14953367-14955082,chr3-33049003-33050793,0.7232177746362696
chr2-14953367-14955082,chr4-3428388-3429234,0.6066369261402724
chr2-14953367-14955082,chr5-11959014-11960511,0.6028555829276752
chr2-14953367-14955082,chr4-21193880-21194395,0.3320878017218918
chr2-14953367-14955082,chr2-17845364-17846461,0.39669301954149183
chr2-14953367-14955082,chr2-23335235-23336935,0.5143861620333865
chr2-14953367-14955082,chr2-20435721-20436916,0.3768342397948833
chr2-14953367-14955082,chr5-38049111-38049527,0.4362741332633445
chr2-14953367-14955082,chr5-23857742-23858006,0.853958098005994
chr2-14953367-14955082,chr3-49715250-49716042,0.31008104986431767
chr2-14953367-14955082,chr1-12910049-12911305,0.44672170382933396
chr2-14953367-14955082,chr2-7914550-7915516,0.6281780851766623
chr2-14953367-14955082,chr3-31527880-31528286,0.3669042625241745
chr2-14953367-14955082,chr2-43065449-43066540,0.6622614631428997
chr2-14953367-14955082,chr5-1769598-1770661,0.8839526974821705
