Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Canonical wnt signaling_WP566	26/152	0.0000000000000004123862835943054421382532008546823843195687259340076469271707537700422108173370361328125	0.00000000000000845391881368326190896083665171365374618240619286613224403481581248342990875244140625	0.00000000047909874829547858861006594935797418821632476237937225960195064544677734375	0.0000000098215243400573104978196808316319443843411818306776694953441619873046875	-1.7649939725220094	62.52415461586357	sp5l;etv4;vent;cdh1;frzb;rarga;wnt5b;ved;spry4;sp5a;vox;fgf8a;dkk1b;gata2a;tbxta;fn1b;dact2;tcf15;fzd8b;bmp2b;ptgs2a;otx2b;eve1;gsc;lef1;chrd
Noncanonical Wnt Pathway_WP215	27/135	0.0000000000000000016765247025100496034049666279539570566314361682014300557186370355111648677848279476165771484375	0.0000000000000000687375128029120370136845372044131895170513852906350737992369204221176914870738983154296875	0.00000000000797491203606629885476308207102545655940717406195972216664813458919525146484375	0.00000000032697139347871824819852496323414718648603383144291001372039318084716796875	-1.481455174437476	60.635676816989566	sp5l;etv4;vent;frzb;wnt5b;noto;prickle2b;tbx16l;ved;spry4;sp5a;vox;krt92;fgf8a;gata2a;tbxta;has2;dact2;fzd8b;bmp2b;otx2b;eve1;prickle1a;gsc;lef1;chrd;tbx16
Nodal Signaling Pathway_WP341	13/77	0.000000012129998402665125884438324273262299612952119787223637104034423828125	0.00000012433248362731753369804792337671717206148969125933945178985595703125	0.00002200628701683133829777004597527678697588271461427211761474609375	0.00020059460242597323942868869917077745412825606763362884521484375	-1.7684598523569177	32.234750943929896	smad3a;vent;lft1;ndr2;tbxta;foxh1;noto;sox32;ved;lef1;pcdh8;vox;tbx16
BMP signaling pathway_WP211	12/66	0.000000018612973001504251738755449786626161579050631189602427184581756591796875	0.000000152626378612334862272561218123068105256834314786829054355621337890625	0.00002446275639341137289324394632483716804927098564803600311279296875	0.00020059460242597323942868869917077745412825606763362884521484375	-1.705253345579617	30.352498380674763	vent;gata3;gata2a;gsc;bmp7a;chrd;snai1a;tll1;bmp2a;snai1b;vox;tp63
FGF signaling pathway_WP152	16/116	0.00000000533017804339280892482328387017853632556807497167028486728668212890625	0.0000000728457665930350575117331797005137961065202034660615026950836181640625	0.000022574136856406244061069854556222935570986010134220123291015625	0.00020059460242597323942868869917077745412825606763362884521484375	-1.2848899313033506	24.477000540382583	etv4;fgf8a;cdh1;gbx2;fgf17;tbxta;snai1a;il17rd;noto;sox32;tbx16l;gsc;chrd;pcdh8;spry4;tbx16
Model of Fgf and Wnt crosstalk in tailbud _WP4021	7/30	0.00000312453069192931410415626884702344767674730974249541759490966796875	0.0000213509597281836475783645123982523728045634925365447998046875	0.0003715367159114877000126997419471308603533543646335601806640625	0.0025388342253951658687716186335592283285222947597503662109375	-1.8531248892102012	23.490630762882862	fgf8a;dkk1b;fgf17;tbxta;tbx6;wnt5b;tbx16
ERK1 - ERK2 MAPK cascade_WP402	9/126	0.0018982488361461891286652292620829030056484043598175048828125	0.01111831461171339414939485124023121898062527179718017578125	0.06775536497313254524765824271526071242988109588623046875	0.396852851985490640007725460236542858183383941650390625	-1.337691708467439	8.38307781162539	etv4;fgf8a;fgf17;tbxta;spry4;dusp2;her1;dusp4;il17rd
Eicosanoid Synthesis_WP1318	2/14	0.036901335628784247278044716722433804534375667572021484375	0.1375413418891049122105840751828509382903575897216796875	0.1217716329450296564029798673800542019307613372802734375	0.499263695074621594027775017821113578975200653076171875	-2.216069589918295	7.3119383048977715	ptgs1;ptgdsb.1
ACE Inhibitor Pathway_WP468	1/8	0.16305454040208455790406105734291486442089080810546875	0.41479332926312884044506290592835284769535064697265625	0.29518522820472659073942622853792272508144378662109375	0.7927117332810826866307252203114330768585205078125	-3.9166726522819095	7.1035537668589726	aplnra
Adipogenesis_WP1331	7/92	0.004184741644929191282942237961606224416755139827728271484375	0.0214468009302621054334991868017823435366153717041015625	0.07959542704489737385831205074282479472458362579345703125	0.405216371522407914351759927740204147994518280029296875	-1.216448436474544	6.66164911490033	frzb;gata3;gata2a;ppargc1a;wnt5b;cyp26a1;bmp2b
