Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
CRD motif and sFRPs influence on Wnt signaling_WP4231	1/10	0.1208989616963150603989873843602254055440425872802734375	0.55434379671766687014411445488804019987583160400390625	0.10813060688141089282776619029391440562903881072998046875	0.4415815415526509468691074289381504058837890625	-3.082952997098845	6.513663429909524	sfrp2
G Protein Signaling Pathways_WP1371	3/61	0.043343122972966920125603706992478691972792148590087890625	0.55434379671766687014411445488804019987583160400390625	0.0266890273902937562311432628803231636993587017059326171875	0.3937701781954785484884951074491254985332489013671875	-1.5754955969686466	4.944861868247282	gnb3b;pde4a;prkd1
Nodal Signaling Pathway_WP341	3/77	0.07612405314888572027687274612617329694330692291259765625	0.55434379671766687014411445488804019987583160400390625	0.047252421383457428316621218300497275777161121368408203125	0.3937701781954785484884951074491254985332489013671875	-1.8375943266476493	4.732523874217054	or102-2;lft2;sox17
Apoptosis Modulation by HSP70_WP1392	1/15	0.1757715084236938507533665188020677305757999420166015625	0.55434379671766687014411445488804019987583160400390625	0.1534895041768080392596829142348724417388439178466796875	0.4415815415526509468691074289381504058837890625	-2.3783862331535413	4.134991845245106	hsp70.3
Nuclear receptors in lipid metabolism and toxicity_WP1326	1/16	0.1863295516575765586875235158004215918481349945068359375	0.55434379671766687014411445488804019987583160400390625	0.1622920396617736626954098255737335421144962310791015625	0.4415815415526509468691074289381504058837890625	-2.2915661191814367	3.8503773664882477	cyp27b1
FGF signaling pathway_WP152	4/116	0.061996179707443498096974821010007872246205806732177734375	0.55434379671766687014411445488804019987583160400390625	0.032203263391917445745971093629123060964047908782958984375	0.3937701781954785484884951074491254985332489013671875	-1.3213045531342518	3.674128465852016	fgf8b;sox17;egr1;egr2b
EPO Receptor Signaling_WP1336	1/20	0.2272315124547719389358491071106982417404651641845703125	0.55434379671766687014411445488804019987583160400390625	0.196632933312371249723327082392643205821514129638671875	0.4415815415526509468691074289381504058837890625	-2.0436318607828503	3.028224881347344	epoa
Neural crest development_WP548	2/58	0.1699349633334662212913457324248156510293483734130859375	0.55434379671766687014411445488804019987583160400390625	0.125993147302374486340426074093556962907314300537109375	0.4415815415526509468691074289381504058837890625	-1.6410476254922468	2.9084935013849083	sox10;egr2b
Hypothetical Network for Drug Addiction_WP1333	1/23	0.25655800886077806399754308586125262081623077392578125	0.55434379671766687014411445488804019987583160400390625	0.22149891199310844935865816296427510678768157958984375	0.4415815415526509468691074289381504058837890625	-1.849371121750506	2.5158853701198756	grin2aa
Effect of L-carnitine on metabolism_WP3992	1/24	0.266085022424480122094081480099703185260295867919921875	0.55434379671766687014411445488804019987583160400390625	0.2296224016073784846003746906717424280941486358642578125	0.4415815415526509468691074289381504058837890625	-1.6109241554148341	2.1327659405913995	pck1
Calcium Regulation in the Cardiac Cell_WP1365	3/119	0.1958430164065711187593166187070892192423343658447265625	0.55434379671766687014411445488804019987583160400390625	0.1281993320988027706963663376882323063910007476806640625	0.4415815415526509468691074289381504058837890625	-1.2194258672320109	1.9882030002881255	prkd1;cacnb3b;kcnj3b
Peptide GPCRs_WP1338	1/34	0.354915125725039415360839711865992285311222076416015625	0.59152520954173237743844993019592948257923126220703125	0.30651349334870225948890265499358065426349639892578125	0.51085582224783709914817109165596775710582733154296875	-1.4946443145532886	1.5482670716000637	cxcr3.1
MAPK Signaling Pathway_WP1337	4/203	0.2626169247972167664073595005902461707592010498046875	0.55434379671766687014411445488804019987583160400390625	0.159517053121486396261019535813829861581325531005859375	0.4415815415526509468691074289381504058837890625	-0.8677060717343484	1.1601740983119035	tnfb;bdnf;gadd45aa;cacnb3b
Canonical wnt signaling_WP566	3/152	0.308432638323032526361799909864203073084354400634765625	0.58895056550625579649960172901046462357044219970703125	0.212424423962787767283799666984123177826404571533203125	0.4415815415526509468691074289381504058837890625	-0.9454526598271128	1.1120904040497002	sfrp2;sox17;egr2b
Adipogenesis_WP1331	2/92	0.329812316683503248260223017496173270046710968017578125	0.58895056550625579649960172901046462357044219970703125	0.253061041125239027937965374803752638399600982666015625	0.45189471629506972050194235634990036487579345703125	-0.9721408006972297	1.0783292215468359	pck1;egr2b
Glycolysis and Gluconeogenesis_WP1356	1/47	0.45457246263995421120540640913532115519046783447265625	0.6810372051170094920280462247319519519805908203125	0.395533821513453454077335891270195133984088897705078125	0.59272992474949581787058150439406745135784149169921875	-1.0288337474612284	0.8111304115470578	pck1
PPAR Signaling Pathway_WP4020	1/56	0.514427799523747619758751170593313872814178466796875	0.6810372051170094920280462247319519519805908203125	0.450631479135952972558953888437827117741107940673828125	0.592936156757832844022004792350344359874725341796875	-1.026195009356049	0.6821118893179332	pck1
Wnt Signaling Pathway_WP1349	1/52	0.488678984047961673109483626831206493079662322998046875	0.6810372051170094920280462247319519519805908203125	0.42676554581963699330771078166435472667217254638671875	0.59272992474949581787058150439406745135784149169921875	-0.8673703015407567	0.6210800528830105	prkd1
EGFR1 Signaling Pathway_WP1323	2/135	0.517588275888927196177746736793778836727142333984375	0.6810372051170094920280462247319519519805908203125	0.418233334267475331813557204441167414188385009765625	0.59272992474949581787058150439406745135784149169921875	-0.642003631717865	0.4228076617889348	ceacam1;prkd1
Toll-like receptor signaling pathway_WP1384	1/65	0.5677374256830340915058741302345879375934600830078125	0.68765284866609388547686876336229033768177032470703125	0.50089769880561740844626683610840700566768646240234375	0.6101306804921351467640988630591891705989837646484375	-0.6935004104132572	0.3925879788454908	tnfb
Wnt Signaling Pathway and Pluripotency_WP1344	1/72	0.6051345068261626547467812997638247907161712646484375	0.68765284866609388547686876336229033768177032470703125	0.53691499883307891582973070399020798504352569580078125	0.6101306804921351467640988630591891705989837646484375	-0.6373687453110598	0.32015320188642954	prkd1
Apoptosis_WP1351	1/69	0.5895189827797946424681185817462392151355743408203125	0.68765284866609388547686876336229033768177032470703125	0.521795028869294963413949517416767776012420654296875	0.6101306804921351467640988630591891705989837646484375	-0.526623936085581	0.2782935543241034	tnfb
Insulin Signaling_WP1313	1/139	0.83419317314355379000545553935808129608631134033203125	0.83419317314355379000545553935808129608631134033203125	0.77660840111179008093955644653760828077793121337890625	0.77660840111179008093955644653760828077793121337890625	-0.45782959065536466	0.08300005512603892	egr1
ERK1 - ERK2 MAPK cascade_WP402	1/126	0.80374448110223306596111569888307712972164154052734375	0.83419317314355379000545553935808129608631134033203125	0.7422183014230927522447700539487414062023162841796875	0.77607740147152792786755526321940124034881591796875	-0.2085401740185323	0.04556057884529457	fgf8b
Transformation Growth Factor (TGF) beta Receptor Signaling Pathway_WP1367	1/127	0.80627247814387448254791479484993033111095428466796875	0.83419317314355379000545553935808129608631134033203125	0.74503430541266679743017675718874670565128326416015625	0.77607740147152792786755526321940124034881591796875	-0.07523976794724613	0.016201644933226695	fosb
