Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Striated Muscle Contraction_WP1316	6/24	0.0000051352582880452536654076502176113905306920059956610202789306640625	0.0002156808480979006590293189926654804366989992558956146240234375	0.0000169594481389485486990710561006068246570066548883914947509765625	0.00071229682183583903180845720015668121050111949443817138671875	-1.8121032910917978	22.070295335884737	mybpc2b;myl1;tmod1;ttn.2;actc1b;acta1b
Integrin-mediated cell adhesion_WP1386	6/71	0.0025414913426398655880988908251083557843230664730072021484375	0.053371318195437174314310624367863056249916553497314453125	0.0033805195440364953392287095113033501547761261463165283203125	0.070990910424766406894292458673589862883090972900390625	-1.4067531125442507	8.405355794473909	akt3a;cav3;src;itgb3b;itga10;git2a
Osteoclast_WP1342	1/6	0.11091171412507601357066988612132263369858264923095703125	0.6013771340387936703564264462329447269439697265625	0.12959595351618258263215466286055743694305419921875	0.6803787559599585588188119800179265439510345458984375	-3.616295852107688	7.952309661713374	itgb3b
ErbB Signaling Pathway_WP1366	3/33	0.0257131679407869399855979253288751351647078990936279296875	0.359984351171017180615052666325937025249004364013671875	0.032069081159058800134520339497612440027296543121337890625	0.448967136226823215761072560781030915677547454833984375	-2.0805812089420392	7.616491919712135	btc;akt3a;src
Id Signaling Pathway_WP1374	3/46	0.059621210687130103689224114305034163407981395721435546875	0.6013771340387936703564264462329447269439697265625	0.0694370232861563352333433840612997300922870635986328125	0.6803787559599585588188119800179265439510345458984375	-1.628078229112604	4.590763629556164	myog;myod1;myf6
Calcium Regulation in the Cardiac Cell_WP1365	5/119	0.08220851097084837244555188817685120739042758941650390625	0.6013771340387936703564264462329447269439697265625	0.09230548859341929091026912601591902785003185272216796875	0.6803787559599585588188119800179265439510345458984375	-1.3611371824245744	3.4007964080266664	cacna1sb;casq2;rgs3a;slc8a3;adrb2b
G13 Signaling Pathway_WP1381	2/33	0.133989694413533533268179098740802146494388580322265625	0.62528524059648982191816912745707668364048004150390625	0.149071932660320261021524856914766132831573486328125	0.69566901908149458844121681977412663400173187255859375	-1.671730028953746	3.3601646352456176	myl1;mybphb
Hypertrophy Model_WP1327	1/15	0.254696426363431982498042316365172155201435089111328125	0.8614366694521360390268682749592699110507965087890625	0.27230234682714371530209973570890724658966064453125	0.87550007884082869935582493781112134456634521484375	-2.4195945042344604	3.3092380957925975	myog
Adipogenesis_WP1331	4/92	0.1039224953873152113015265740614267997443675994873046875	0.6013771340387936703564264462329447269439697265625	0.11634286883535270573641895452965400181710720062255859375	0.6803787559599585588188119800179265439510345458984375	-1.297884315066982	2.9385527194363705	bmp3;lmna;epas1b;mef2d
Signaling of Hepatocyte Growth Factor Receptor_WP444	2/30	0.11454802553119879104936984504092833958566188812255859375	0.6013771340387936703564264462329447269439697265625	0.12884679338082349886462907306849956512451171875	0.6803787559599585588188119800179265439510345458984375	-1.32255816692999	2.8656675978137125	src;hgfa
EPO Receptor Signaling_WP1336	1/20	0.324296605631182732754069775182870216667652130126953125	0.8614366694521360390268682749592699110507965087890625	0.341411294434953938026211517353658564388751983642578125	0.87550007884082869935582493781112134456634521484375	-1.9573571648131256	2.2041735075907494	src
Hypothetical Network for Drug Addiction_WP1333	1/23	0.362904300162241566507503875982365570962429046630859375	0.8614366694521360390268682749592699110507965087890625	0.379749585287673330213920053211040794849395751953125	0.87550007884082869935582493781112134456634521484375	-1.6609721790024599	1.6835881678547149	acta1b
Oxidative Stress_WP1372	1/28	0.422422388740402887652436447751824744045734405517578125	0.8614366694521360390268682749592699110507965087890625	0.43884940965937191403867245753644965589046478271484375	0.87550007884082869935582493781112134456634521484375	-1.6236254936901908	1.3991585293792241	mao
p38 MAPK Signaling Pathway_WP1363	1/33	0.476393225583084223284657809927011840045452117919921875	0.8614366694521360390268682749592699110507965087890625	0.492428872112313287257023830534308217465877532958984375	0.87550007884082869935582493781112134456634521484375	-1.4031964697174646	1.040486545840655	mef2d
Delta-Notch Signaling Pathway_WP1382	2/65	0.360349669062364375005103056537336669862270355224609375	0.8614366694521360390268682749592699110507965087890625	0.380637998601349725191766992793418467044830322265625	0.87550007884082869935582493781112134456634521484375	-0.9231695925389617	0.9422611237424026	fhl1a;hey1
MAPK Signaling Pathway_WP1337	5/203	0.358882654926805655382082704818458296358585357666015625	0.8614366694521360390268682749592699110507965087890625	0.38704580265575849740145031319116242229938507080078125	0.87550007884082869935582493781112134456634521484375	-0.8254716559770182	0.8459101776906366	cacna1sb;flnca;cacna1ha;cacna2d1a;mef2ca
Androgen Receptor Signaling Pathway_WP1348	2/82	0.47435219209192902578564599025412462651729583740234375	0.8614366694521360390268682749592699110507965087890625	0.495837748673171041513541013046051375567913055419921875	0.87550007884082869935582493781112134456634521484375	-1.0314968538950653	0.7692957296931148	svila;src
Endochondral Ossification_WP1383	1/45	0.586277577574156882889155895099975168704986572265625	0.8614366694521360390268682749592699110507965087890625	0.601425693303449637738822275423444807529449462890625	0.87550007884082869935582493781112134456634521484375	-1.0887088101077556	0.5813290462283387	chst11
