Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Neural crest development_WP548	19/58	0.00000000000000262966493548248913828302913709947638526732440443500760096640078700147569179534912109375	0.000000000000113075592225747032551739800284771581860630666749312212004952016286551952362060546875	0.0000000002531480593912173424909755012368085813623252988691092468798160552978515625	0.0000000108853665538223451067264871384120128450234687988995574414730072021484375	-1.9375331946868715	65.0467093275974	pmela;mitfa;tyrp1b;zic1;dlx5a;pax7a;dlx2a;qdpra;zic2a;pax3a;dct;dlx1a;phox2bb;gch2;mpz;zic5;myca;plp1a;slc45a2
Canonical wnt signaling_WP566	23/152	0.0000000001591904607228608352311252268271031355684197450273131835274398326873779296875	0.0000000034225949055415080996408601593343490332443934676120989024639129638671875	0.000001081719198189896663918232837253707856461915071122348308563232421875	0.00002325696276108277986242878210276785466703586280345916748046875	-1.7649939725220094	39.81988739871175	irx3a;sfrp5;irx5b;mitfa;dab2;efnb1;jag1a;sox2;wnt1;wnt8b;neurog1;wnt3a;edn1;wnt7aa;sfrp1a;wnt10b;en1a;en2b;en2a;myca;cx43;vegfc;met
Model of Fgf and Wnt crosstalk in tailbud _WP4021	5/30	0.00180205255689517966112556113245091182761825621128082275390625	0.0154976519892985435677967842593716341070830821990966796875	0.0176848376627824800666477500499240704812109470367431640625	0.253482673166548877485837465428630821406841278076171875	-1.9214554529716394	12.14134835073613	wnt3;notum1a;wnt3a;wnt11;wnt7ba
Noncanonical Wnt Pathway_WP215	12/135	0.000748295850689966769719863037835239083506166934967041015625	0.01072557385988952283195629888723487965762615203857421875	0.027312202287322097371546902877526008524000644683837890625	0.254721207317808062686737002877634949982166290283203125	-1.3890951261558377	9.998306847417158	celsr1b;sfrp5;sfrp1a;mitfa;wnt10b;efnb1;wnt1;wnt8b;myca;wnt3a;wnt11;wnt7aa
Adipogenesis_WP1331	9/92	0.00172330869833080204019115644342718951520510017871856689453125	0.0154976519892985435677967842593716341070830821990966796875	0.032924191811163960874608847007039003074169158935546875	0.254721207317808062686737002877634949982166290283203125	-1.3793201936594202	8.7773167065173	cebpb;cfd;wnt10b;cntfr;wnt1;ahr1b;nr2f1a;ins;roraa
Wnt Signaling Pathway_WP1349	6/52	0.00441516577919475426694528863436062238179147243499755859375	0.027121732643624919811831119886846863664686679840087890625	0.04146624305173619851050403894987539388239383697509765625	0.254721207317808062686737002877634949982166290283203125	-1.554940893328911	8.431993370804484	wnt3;wnt10b;wnt1;wnt3a;wnt7aa;wnt7bb
Delta-Notch Signaling Pathway_WP1382	7/65	0.003202070597870883446323109211562041309662163257598876953125	0.0229481726180746636867269216963904909789562225341796875	0.038357232186605007273616507745828130282461643218994140625	0.254721207317808062686737002877634949982166290283203125	-1.433006842856337	8.231130569658918	lfng;notch1b;ascl1a;her15.2;cntfr;her15.1;jag2b
Nodal Signaling Pathway_WP341	7/77	0.008149595351286516298205953034994308836758136749267578125	0.038936955567257798549452019187810947187244892120361328125	0.07659003444923288828061203048491734080016613006591796875	0.365930164590779372080220355201163329184055328369140625	-1.422787480903259	6.843304733837349	mitfa;slc6a1b;skib;mpz;foxg1a;pax6a;ptprna
Wnt Signaling Pathway and Pluripotency_WP1344	7/72	0.005668321241153952312619157538620129344053566455841064453125	0.0304672266712024929213864510302300914190709590911865234375	0.058649489209460649308258695100448676384985446929931640625	0.315241004500850963143676608524401672184467315673828125	-1.241714321630385	6.4232171799769775	wnt3;wnt10b;sox2;wnt1;wnt3a;wnt7aa;wnt7bb
Striated Muscle Contraction_WP1316	3/24	0.033764965091295152943562385416953475214540958404541015625	0.1451893498925691528000925245578400790691375732421875	0.1154978152027050508632299852251890115439891815185546875	0.496640605371631682629640636150725185871124267578125	-1.4678878073470494	4.973690569242385	cmlc1;tnnc1a;tnnt2a
PPAR Signaling Pathway_WP4020	4/56	0.08614751993800219553865105126533308066427707672119140625	0.308695279777841224966294930709409527480602264404296875	0.27588719911733494694061619156855158507823944091796875	0.988595796837116846944581993739120662212371826171875	-1.2453503770775758	3.053218177071663	fabp3;fabp7a;fads2;angptl4
FGF signaling pathway_WP152	7/116	0.0594401226529318316149641532319947145879268646240234375	0.2323568430978244225837414660418289713561534881591796875	0.304484307321134128887507586114224977791309356689453125	0.99647339430349990418989136742311529815196990966796875	-0.9935729566561405	2.8046436483160546	egr2a;sp8a;gbx1;fgfr2;myca;fgfr3;sp9
Endochondral Ossification_WP1383	3/45	0.1509247426157410421065918626482016406953334808349609375	0.444452943650447129808611634871340356767177581787109375	0.36050768949980438460301002123742364346981048583984375	0.99647339430349990418989136742311529815196990966796875	-1.3978756121667533	2.6433463814785942	vegfab;fgfr3;gli3
One Carbon Metabolism_WP1355	2/21	0.129152173804376768639912143044057302176952362060546875	0.427195651814476995422609206798369996249675750732421875	0.272578986688845337216235975574818439781665802001953125	0.988595796837116846944581993739120662212371826171875	-1.2653486648686487	2.589870003541544	ahcy;dnmt3ab
Keap1-Nrf2_WP1332	1/13	0.3261513951542713840581200201995670795440673828125	0.73813210482282476387894121216959320008754730224609375	0.4718495432678546652738305056118406355381011962890625	0.99647339430349990418989136742311529815196990966796875	-2.1309200362512475	2.3874691773401104	cebpb
Id Signaling Pathway_WP1374	3/46	0.1581000572614357224665582180023193359375	0.444452943650447129808611634871340356767177581787109375	0.3728737406884674587814743063063360750675201416015625	0.99647339430349990418989136742311529815196990966796875	-1.1574117239814963	2.134877374748682	vegfab;id4;pax5
Glycolysis and Gluconeogenesis_WP1356	3/47	0.16537783949784079506883927024318836629390716552734375	0.444452943650447129808611634871340356767177581787109375	0.38519739118253293330695896656834520399570465087890625	0.99647339430349990418989136742311529815196990966796875	-1.0288337474612284	1.8514094635700138	aldocb;pgam2;gapdhs
Hypertrophy Model_WP1327	1/15	0.365871518521169780679969107950455509126186370849609375	0.78525667636651685921123089428874664008617401123046875	0.51803420647064746251686528921709395945072174072265625	0.99647339430349990418989136742311529815196990966796875	-1.775999743166643	1.7857198776772891	vegfab
G13 Signaling Pathway_WP1381	2/33	0.25923160497355290932119942226563580334186553955078125	0.61927550077015414142778126915800385177135467529296875	0.46610706796437384458187125346739776432514190673828125	0.99647339430349990418989136742311529815196990966796875	-1.0617332618512236	1.4333753538903333	calm1b;arhgdig
ERK1 - ERK2 MAPK cascade_WP402	6/126	0.17630249053989943686104879816411994397640228271484375	0.445941593718569173621091294990037567913532257080078125	0.54002407947711617008934581463108770549297332763671875	0.99647339430349990418989136742311529815196990966796875	-0.6319719994368723	1.0968215713014127	cebpb;pdgfaa;fgfr2;myca;fgfr3;vegfc
Alpha6-Beta4 Integrin Signaling Pathway_WP1329	2/46	0.40175922976891553783929111887118779122829437255859375	0.78525667636651685921123089428874664008617401123046875	0.6383316395438127788253268590779043734073638916015625	0.99647339430349990418989136742311529815196990966796875	-0.78150008948306	0.7126517296101321	itgb4;ntn1a
Exercise-induced Circadian Regulation_WP562	2/46	0.40175922976891553783929111887118779122829437255859375	0.78525667636651685921123089428874664008617401123046875	0.6383316395438127788253268590779043734073638916015625	0.99647339430349990418989136742311529815196990966796875	-0.662924215558936	0.6045221173691963	cebpb;cldn5a
Peptide GPCRs_WP1338	1/34	0.64405306094469672029134699187125079333782196044921875	0.942548078280694756614366269786842167377471923828125	0.798735421066827822045297580189071595668792724609375	0.99647339430349990418989136742311529815196990966796875	-1.007239922500291	0.443159542346488	cxcr3.2
BMP signaling pathway_WP211	2/66	0.5912331581412939573993980957311578094959259033203125	0.942548078280694756614366269786842167377471923828125	0.8151286306532821157588841742835938930511474609375	0.99647339430349990418989136742311529815196990966796875	-0.8213589070259735	0.4316609228539168	grem2b;bmp5
p38 MAPK Signaling Pathway_WP1363	1/33	0.63306352772895790881335642552585341036319732666015625	0.942548078280694756614366269786842167377471923828125	0.78923175383448995745538923074491322040557861328125	0.99647339430349990418989136742311529815196990966796875	-0.8600586838775325	0.3932055011758907	myca
T Cell Receptor Signaling Pathway_WP1345	3/84	0.46140686174231859695282764732837677001953125	0.862630219779117357603581695002503693103790283203125	0.753752740079534078176948241889476776123046875	0.99647339430349990418989136742311529815196990966796875	-0.3604878760760824	0.27882838222005557	cebpb;sh2d3ca;arhgdig
G1 to S cell cycle control_WP445	2/57	0.5117066749006025094814731346559710800647735595703125	0.91680779253024613506539708396303467452526092529296875	0.7477490672006397165461066833813674747943878173828125	0.99647339430349990418989136742311529815196990966796875	-0.32413928940649284	0.2171745292783592	cdk6;tfdp2
Cell cycle_WP1393	2/86	0.73237779880907261098599292381550185382366180419921875	0.942548078280694756614366269786842167377471923828125	0.910923537096893998210589415975846350193023681640625	0.99647339430349990418989136742311529815196990966796875	-0.4301117374809508	0.13396207683566172	cdk6;mpeg1.1
IL-4 signaling Pathway_WP1376	1/45	0.74527057352427028558139454617048613727092742919921875	0.942548078280694756614366269786842167377471923828125	0.879001794578212258812754953396506607532501220703125	0.99647339430349990418989136742311529815196990966796875	-0.33030794527894236	0.09711315875528215	ncf1
Apoptosis_WP1351	2/69	0.615508029973457215788812391110695898532867431640625	0.942548078280694756614366269786842167377471923828125	0.83377175898267019693577140060369856655597686767578125	0.99647339430349990418989136742311529815196990966796875	-0.19727813490635593	0.09574051647173541	bcl2a;myca
Calcium Regulation in the Cardiac Cell_WP1365	3/119	0.69486010371897588555611946503631770610809326171875	0.942548078280694756614366269786842167377471923828125	0.9172581865143121238048706800327636301517486572265625	0.99647339430349990418989136742311529815196990966796875	-0.18020955581987677	0.06560434148717678	gng2;calm1b;cx43
FAS pathway and Stress induction of HSP regulation_WP511	1/35	0.6547139980218030785863447817973792552947998046875	0.942548078280694756614366269786842167377471923828125	0.807814388162563457029818891896866261959075927734375	0.99647339430349990418989136742311529815196990966796875	-0.03322565411187662	0.01407295116687851	arhgdig
Estrogen Signaling_WP1330	1/61	0.843476525323469505934781409450806677341461181640625	0.95446027865550486790624518107506446540355682373046875	0.94252841777057561056807344357366673648357391357421875	0.99647339430349990418989136742311529815196990966796875	-0.0781503353532176	0.013303000748538607	bcl2a
Integrin-mediated cell adhesion_WP1386	1/71	0.8845737247236635791836079079075716435909271240234375	0.95952250426012175577028529005474410951137542724609375	0.9640063452792484444131559939705766737461090087890625	0.99647339430349990418989136742311529815196990966796875	-0.09451650182605388	0.011592393845081336	itgb4
MAPK Signaling Pathway_WP1337	5/203	0.7296440836258677453685095315449871122837066650390625	0.942548078280694756614366269786842167377471923828125	0.96255528984873406361799652586341835558414459228515625	0.99647339430349990418989136742311529815196990966796875	-0.023017756587745016	0.00725516051786205	cacnb4a;rasgrp3;fgfr2;myca;fgfr3
Regulation of Actin Cytoskeleton_WP1380	2/101	0.80904476918213974467875004847883246839046478271484375	0.95446027865550486790624518107506446540355682373046875	0.9499178169205315658274457746301777660846710205078125	0.99647339430349990418989136742311529815196990966796875	0.006685457836581542	-0.0014166553650899613	fgfr2;fgfr3
mRNA processing_WP467	1/120	0.9741069943074271986205303619499318301677703857421875	0.9741069943074271986205303619499318301677703857421875	0.99647339430349990418989136742311529815196990966796875	0.99647339430349990418989136742311529815196990966796875	0.33165268195691	-0.008700619889840278	celf2
IL-6 Signaling Pathway_WP1322	1/81	0.91489355057360455258930187483201734721660614013671875	0.95952250426012175577028529005474410951137542724609375	0.97750396980624054688036039806320331990718841552734375	0.99647339430349990418989136742311529815196990966796875	0.12759266448817055	-0.011349056007277971	cebpb
Electron Transport Chain_WP1339	1/91	0.937258805107541004275617524399422109127044677734375	0.95957449094343483242397496724152006208896636962890625	0.98596911411805410185849041226902045309543609619140625	0.99647339430349990418989136742311529815196990966796875	0.3535651921595216	-0.022909549657378736	cox6b1
EGFR1 Signaling Pathway_WP1323	3/135	0.7726147777945133743315864194300957024097442626953125	0.94921244129040205361746984635828994214534759521484375	0.95216388663026407801481809656252153217792510986328125	0.99647339430349990418989136742311529815196990966796875	0.11190888993247187	-0.028869662484235586	cebpb;sh2d3ca;cx43
IL-3 Signaling Pathway_WP1359	1/75	0.89781764888645920752452411761623807251453399658203125	0.95952250426012175577028529005474410951137542724609375	0.97016778477469223229689987419988028705120086669921875	0.99647339430349990418989136742311529815196990966796875	0.6630146984035219	-0.07146522383519444	bcl2a
Transformation Growth Factor (TGF) beta Receptor Signaling Pathway_WP1367	3/127	0.735990404054413627221720162197016179561614990234375	0.942548078280694756614366269786842167377471923828125	0.936878810620456636826247631688602268695831298828125	0.99647339430349990418989136742311529815196990966796875	0.5403583334393123	-0.16564046997309362	tfdp2;foxg1a;sparc
IL-2 Signaling Pathway_WP1319	1/59	0.83364863948956846595450542736216448247432708740234375	0.95446027865550486790624518107506446540355682373046875	0.9369054075860490105043254516203887760639190673828125	0.99647339430349990418989136742311529815196990966796875	1.005494828480778	-0.1829430079816217	bcl2a
