Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Endochondral Ossification_WP1383	7/45	0.00012252743927943391473618650611143721107509918510913848876953125	0.006003844524692262228648953481524586095474660396575927734375	0.000861570555687870697110508633187464511138387024402618408203125	0.0422169572287056649173564437660388648509979248046875	-1.97204253027632	17.762533279904137	col2a1a;adamts1;bmp7b;tgfbi;sox9a;mef2cb;bmp6
ERK1 - ERK2 MAPK cascade_WP402	11/126	0.000349693571368808915622583555204982985742390155792236328125	0.00856749249853581799907242810832030954770743846893310546875	0.0025685241539632939176962533878167960210703313350677490234375	0.0629288417721007020677603804870159365236759185791015625	-1.6905515629827224	13.454175660740939	elk3;fgfrl1b;jun;tgfbr2b;fgf11a;fgf10a;vegfaa;fgf10b;tgfb3;fgf24;junba
BMP signaling pathway_WP211	7/66	0.00133531388305138491723322857751554693095386028289794921875	0.02181012675650595422638389209168963134288787841796875	0.006261515827687740877449673604360214085318148136138916015625	0.10227142518556643635552205751082510687410831451416015625	-1.7936427894349816	11.871384250218117	gata4;crim1;gata6;gata5;snai2;fstl1a;bmp6
Striated Muscle Contraction_WP1316	4/24	0.0028366665473474011842369701952293326030485332012176513671875	0.03474916520500566374796136415170622058212757110595703125	0.00964685151761278392168463824418722651898860931396484375	0.1181739310907566065100837704449077136814594268798828125	-1.697364796510215	9.95525783449183	actn2b;myh6;mybpc3;mybpc1
Model of Fgf and Wnt crosstalk in tailbud _WP4021	4/30	0.00649580812924842841693529038593624136410653591156005859375	0.0636589196666345891184590755074168555438518524169921875	0.019020657494096364359403850130547652952373027801513671875	0.186402443442144349905476019557681865990161895751953125	-1.9214554529716394	9.677599101396726	fgf10a;fgf10b;pik3cb;fgf24
FGF signaling pathway_WP152	8/116	0.0091283119942304480343153727517346851527690887451171875	0.07454788128621532561357554413916659541428089141845703125	0.034124488744994817268629816453540115617215633392333984375	0.278683324750790994972504677207325585186481475830078125	-1.1756460658106467	5.521274189326931	fgfrl1b;fgf11a;fgf10a;fgf10b;gata5;snai2;fgf24;junba
Osteoclast_WP1342	1/6	0.142005110294099179402138588557136245071887969970703125	0.450600713673181274554480069127748720347881317138671875	0.196680194572211919368243115968653000891208648681640625	0.69824239418292766146123540238477289676666259765625	-2.7585915290462735	5.384473382438955	ctsk
Monoamine GPCRs_WP1389	3/28	0.032678357739861087216670654242989257909357547760009765625	0.177915503250354822828427359127090312540531158447265625	0.067856134166644377359034479013644158840179443359375	0.415618821770696811324086183958570472896099090576171875	-1.4681357037369873	5.022554290320035	adra1ba;adra1aa;htr4
G13 Signaling Pathway_WP1381	3/33	0.0496672994712026028008011735437321476638317108154296875	0.2433697674088927398461379425498307682573795318603515625	0.09679726589445340756423519223972107283771038055419921875	0.47430660288282167069695560712716542184352874755859375	-1.603952610386799	4.815720984312596	iqgap2;iqgap1;pik3cb
Regulation of Actin Cytoskeleton_WP1380	7/101	0.01395983439511892278128701860850924276746809482574462890625	0.09771884076583246814262651014360017143189907073974609375	0.04556721481337409895839840601183823309838771820068359375	0.31897050369361867883100103426841087639331817626953125	-1.1011904122255205	4.7038130793789055	actn1;itga1;fgf10a;iqgap1;pik3cb;gna12a;arhgef4
