Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
BMP signaling pathway_WP211	13/66	0.00000172556125075892742145255119579072555779930553399026393890380859375	0.000105259236296294573132122096570384428559918887913227081298828125	0.00013969902453039495971061356716091950147529132664203643798828125	0.00852164049635409197314128704192626173608005046844482421875	-1.8820322332903459	24.97448906237608	bmp4;smad6b;bmpr1ab;bambia;tbx2b;zeb1b;bmpr2b;msx3;smad1;nog1;id3;glula;smad7
Canonical wnt signaling_WP566	18/152	0.00003756975499857545075337028617212808967451564967632293701171875	0.00114587752745655131574042950859393386053852736949920654296875	0.00215404741720956645345541602409866754896938800811767578125	0.06569844622489177943247540270022000186145305633544921875	-1.7649939725220094	17.98407288674149	bmp4;eda;tcf7l1a;tcf7l1b;tle3b;otx1;prkcbb;sox9b;fzd8a;tcf7l2;inhbb;fzd10;nkd1;axin2;id2b;id2a;cited4b;dld
Transformation Growth Factor (TGF) beta Receptor Signaling Pathway_WP1367	14/127	0.000558310604128917152381983424191957965376786887645721435546875	0.01135231561728798112265170772161582135595381259918212890625	0.0119224079031093783964667665031811338849365711212158203125	0.24242229402989068365315006303717382252216339111328125	-1.5116353378492158	11.323048273159449	zeb2a;smad6b;skia;camk2b1;tp53;atf3;prkcbb;foxo3b;stambpl1;zeb1b;axin2;mef2aa;fosab;smad7
Id Signaling Pathway_WP1374	7/46	0.0021741870980122681746016244375141468481160700321197509765625	0.03315635324468708955425455542354029603302478790283203125	0.01737887454318819135945517473373911343514919281005859375	0.265027836783619907823350558828678913414478302001953125	-1.628078229112604	9.981911134400564	bmpr2b;tcf7l2;smad1;tcf12;id3;id2a;atf3
Noncanonical Wnt Pathway_WP215	13/135	0.0029645351576330727406960452441353481844998896121978759765625	0.036167328923123485961976797398165217600762844085693359375	0.037997973169719999331217508142799488268792629241943359375	0.386312727225486651772001778226695023477077484130859375	-1.2967350778741995	7.548340319857666	bmp4;pak1;tcf7l1a;nap1l1;tcf7l1b;otx1;prkcbb;fzd8a;tcf7l2;celsr1a;inhbb;fzd10;axin2
Adipogenesis_WP1331	10/92	0.0036741582152535266596327101495944589260034263134002685546875	0.037353941855077517353311833403495256789028644561767578125	0.034563658599542336491428073941278853453695774078369140625	0.386312727225486651772001778226695023477077484130859375	-1.297884315066982	7.276499156436895	bmp4;rxraa;klf6a;ncor2;gadd45ba;id3;cyp26c1;lpl;mef2aa;bmp1a
T Cell Receptor Signaling Pathway_WP1345	8/84	0.018930021032769299427211961983630317263305187225341796875	0.154330683996274198310771907927119173109531402587890625	0.09814947424386404051244170432255486957728862762451171875	0.6085113062159985819477014956646598875522613525390625	-1.6654213641342988	6.606736881596896	pak1;tuba8l2;ripk2;fosab;gab2;dlg1;tubb5;ptk2ab
Fatty Acid Biosynthesis_WP1352	3/18	0.033123428923045684924009179894710541702806949615478515625	0.1554253203312143949421653132958454079926013946533203125	0.090320250072428553966830122590181417763233184814453125	0.6085113062159985819477014956646598875522613525390625	-1.66150727015342	5.661609989523818	acsl1a;acaca;pcxb
G1 to S cell cycle control_WP445	6/57	0.0257077561217321469422270041604861035011708736419677734375	0.154330683996274198310771907927119173109531402587890625	0.10265314566353266056975002129547647200524806976318359375	0.6085113062159985819477014956646598875522613525390625	-1.3402499145052165	4.9066047285504055	prim2;ccnd2a;mycb;si:ch211-160f23.5;tp53;mdm2
Signal Transduction of S1P Receptor_WP1391	3/22	0.0556140394817987993025809601022046990692615509033203125	0.212028525524357913667472530505619943141937255859375	0.13493816293039462284042429018882103264331817626953125	0.6085113062159985819477014956646598875522613525390625	-1.6384568550860887	4.734025506686719	pik3c2b;plcb3;s1pr2
