Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GPCRs, Class C Metabotropic glutamate, pheromone_WP1373	1/9	0.10093289101513157335343606746391742490231990814208984375	0.6701422518217918788963061160757206380367279052734375	0.087043964070814883182691801266628317534923553466796875	0.5402060709722824594081203031237237155437469482421875	-4.020017394674292	9.2191035932733	gprc5c
T Cell Receptor Signaling Pathway_WP1345	3/84	0.0764441924389714644316740077556460164487361907958984375	0.6701422518217918788963061160757206380367279052734375	0.04153229605643692090577445696908398531377315521240234375	0.5402060709722824594081203031237237155437469482421875	-2.073213079152491	5.3306336828459395	ptpn3;ptk2bb;card11
Eicosanoid Synthesis_WP1318	1/14	0.1525540333585009011851951754579204134643077850341796875	0.6701422518217918788963061160757206380367279052734375	0.1278116271858767138969170673590269871056079864501953125	0.5402060709722824594081203031237237155437469482421875	-2.7397567714665336	5.1513904871744325	ptges
Wnt Signaling Pathway and Pluripotency_WP1344	3/72	0.052892259425231409608603172500806977041065692901611328125	0.6701422518217918788963061160757206380367279052734375	0.028366567389055942494113793372889631427824497222900390625	0.5402060709722824594081203031237237155437469482421875	-1.5438871097900475	4.53825349677784	wnt10a;wnt9b;wnt6b
Wnt Signaling Pathway_WP1349	2/52	0.1245921750049146237149244598185759969055652618408203125	0.6701422518217918788963061160757206380367279052734375	0.08419192636028101361933551061156322248280048370361328125	0.5402060709722824594081203031237237155437469482421875	-1.7612120708653574	3.6680930683993784	wnt10a;wnt6b
Apoptosis_WP1351	2/69	0.1945414303189252347436877244035713374614715576171875	0.6701422518217918788963061160757206380367279052734375	0.1335124623781833719249334535561501979827880859375	0.5402060709722824594081203031237237155437469482421875	-1.5146613396232564	2.4796674214883416	boka;tp73
Model of Fgf and Wnt crosstalk in tailbud _WP4021	1/30	0.29871868086742325854032742427079938352108001708984375	0.6701422518217918788963061160757206380367279052734375	0.2469356739526948063545574996169307269155979156494140625	0.5402060709722824594081203031237237155437469482421875	-1.7847943254487633	2.156483125143313	dkk1a
p38 MAPK Signaling Pathway_WP1363	1/33	0.323187001642933957601400152270798571407794952392578125	0.6701422518217918788963061160757206380367279052734375	0.267472647389096651604489807141362689435482025146484375	0.5402060709722824594081203031237237155437469482421875	-1.783392919805417	2.0143854090124633	pla2g4aa
G13 Signaling Pathway_WP1381	1/33	0.323187001642933957601400152270798571407794952392578125	0.6701422518217918788963061160757206380367279052734375	0.267472647389096651604489807141362689435482025146484375	0.5402060709722824594081203031237237155437469482421875	-1.671730028953746	1.8882594748104258	rhpn2
Peptide GPCRs_WP1338	1/34	0.331152697748109792197368506094790063798427581787109375	0.6701422518217918788963061160757206380367279052734375	0.274198958889824651041777769933105446398258209228515625	0.5402060709722824594081203031237237155437469482421875	-1.6446148967234417	1.8175883991257553	sstr5
IL-7 Signaling Pathway_WP1346	1/35	0.339025036549208069747152194395312108099460601806640625	0.6701422518217918788963061160757206380367279052734375	0.280866422522770775582756641597370617091655731201171875	0.5402060709722824594081203031237237155437469482421875	-1.5483510632082929	1.67482242218625	ptk2bb
Signaling of Hepatocyte Growth Factor Receptor_WP444	1/30	0.29871868086742325854032742427079938352108001708984375	0.6701422518217918788963061160757206380367279052734375	0.2469356739526948063545574996169307269155979156494140625	0.5402060709722824594081203031237237155437469482421875	-1.32255816692999	1.5979848929023681	ptk2bb
IL-4 signaling Pathway_WP1376	1/45	0.41284731148818420987112176590017043054103851318359375	0.6701422518217918788963061160757206380367279052734375	0.344410191371462115483836896601133048534393310546875	0.5402060709722824594081203031237237155437469482421875	-1.234641813256882	1.0922597836321615	pawr
Alpha6-Beta4 Integrin Signaling Pathway_WP1329	1/46	0.419761913423115362586912624465185217559337615966796875	0.6701422518217918788963061160757206380367279052734375	0.350461789605190310314952739645377732813358306884765625	0.5402060709722824594081203031237237155437469482421875	-1.2570579532658552	1.091211282111108	tp73
IL-5 Signaling Pathway_WP1315	1/49	0.44002297175868221312811101597617380321025848388671875	0.6701422518217918788963061160757206380367279052734375	0.368299014832150495291074321357882581651210784912109375	0.5402060709722824594081203031237237155437469482421875	-1.1941576697030432	0.9803178793272445	ptk2bb
FGF signaling pathway_WP152	2/116	0.396432873340273050910553820358472876250743865966796875	0.6701422518217918788963061160757206380367279052734375	0.28971226160788621228903139126487076282501220703125	0.5402060709722824594081203031237237155437469482421875	-0.920743712994338	0.851916785596717	pla2g4aa;fgf20b
ERK1 - ERK2 MAPK cascade_WP402	2/126	0.437085191017331398111167573006241582334041595458984375	0.6701422518217918788963061160757206380367279052734375	0.323929929065953692290946719367639161646366119384765625	0.5402060709722824594081203031237237155437469482421875	-0.702543970339929	0.581444469378165	pla2g4aa;fgf20b
EGFR1 Signaling Pathway_WP1323	2/135	0.472376615365238172739026367707992903888225555419921875	0.6701422518217918788963061160757206380367279052734375	0.354484239025039726822541297224233858287334442138671875	0.5402060709722824594081203031237237155437469482421875	-0.6891231643210111	0.5168276932987791	ptk2bb;elf3
Insulin Signaling_WP1313	2/139	0.487632058140887669761553979697055183351039886474609375	0.6701422518217918788963061160757206380367279052734375	0.36794862608932932257488346294849179685115814208984375	0.5402060709722824594081203031237237155437469482421875	-0.6857945320605255	0.49253361192994893	sgk2a;prkchb
