Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
GPCRs, Class C Metabotropic glutamate, pheromone_WP1373	1/9	0.0898164925498286803584591098115197382867336273193359375	0.269449477649486068830952945063472725450992584228515625	0.09488887790038791347768665218609385192394256591796875	0.28466663370116374043305995655828155577182769775390625	-3.556525765772567	8.571179658048816	gabbr2
MAPK Signaling Pathway_WP1337	7/203	0.0054483585419099443691859363525509252212941646575927734375	0.1471056806315685083763611373797175474464893341064453125	0.0031096888340623823031305672515145488432608544826507568359375	0.08396159851968432175084444679669104516506195068359375	-1.2900502293076501	6.724310579126998	fgf4;fgf3;cacna1aa;egf;fgf20a;arrb1;map3k8
Canonical wnt signaling_WP566	5/152	0.02148066783606326912714479249189025722444057464599609375	0.15626471092026894549320559235638938844203948974609375	0.01645420045762140126566208664371515624225139617919921875	0.15450941063015000143110455610440112650394439697265625	-1.6904902168224734	6.4924999703740625	fgf3;tdgf1;fgf20a;ihhb;lhx1a
Model of Fgf and Wnt crosstalk in tailbud _WP4021	2/30	0.03869363933510878983401681807663408108055591583251953125	0.15626471092026894549320559235638938844203948974609375	0.038852113850083476453978192921567824669182300567626953125	0.15450941063015000143110455610440112650394439697265625	-1.9214554529716394	6.248726946957428	fgf4;fgf3
ErbB Signaling Pathway_WP1366	2/33	0.046028504069164331846675253245848580263555049896240234375	0.15626471092026894549320559235638938844203948974609375	0.045780566112637040288024792289434117265045642852783203125	0.15450941063015000143110455610440112650394439697265625	-1.800226658301374	5.5419877236151125	shc2;egf
Regulation of Actin Cytoskeleton_WP1380	4/101	0.0212217684943400118624534655964453122578561305999755859375	0.15626471092026894549320559235638938844203948974609375	0.017965288014730580734568121670235996134579181671142578125	0.15450941063015000143110455610440112650394439697265625	-1.2922034932707105	4.978508332568664	fgf4;fgf3;egf;pip5k1ca
Toll-like receptor signaling pathway_WP1384	3/65	0.0302336688405774045573792818686342798173427581787109375	0.15626471092026894549320559235638938844203948974609375	0.0279461934012774880498053420296855620108544826507568359375	0.15450941063015000143110455610440112650394439697265625	-1.408449287127955	4.927881116970703	fadd;tlr9;map3k8
Nodal Signaling Pathway_WP341	3/77	0.046300655087487097016918369263294152915477752685546875	0.15626471092026894549320559235638938844203948974609375	0.042414634226219750934294694388881907798349857330322265625	0.15450941063015000143110455610440112650394439697265625	-1.4919219551939908	4.584078160088366	foxa2;shha;lhx1a
ERK1 - ERK2 MAPK cascade_WP402	4/126	0.04271033606743622479395838809068663977086544036865234375	0.15626471092026894549320559235638938844203948974609375	0.0361883847510082456988556032229098491370677947998046875	0.15450941063015000143110455610440112650394439697265625	-1.4082636793704957	4.4406980343399125	fgf3;egf;fgf20a;map3k8
Apoptosis Modulation by HSP70_WP1392	1/15	0.145186591213359417196215872536413371562957763671875	0.368999299113652423631748433763277716934680938720703125	0.147621147186685786056870028915000148117542266845703125	0.343815288956512532525522374271531589329242706298828125	-2.1628062437446545	4.173644048455547	fadd
