Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Cytoplasmic Ribosomal Proteins_WP324	10/79	0.000000000682526705271328707079385995199448389225693745174794457852840423583984375	0.0000000177456943370545472112446484282133329912767294445075094699859619140625	0.0000049229127237259415463487520481233872260418138466775417327880859375	0.00012799573081687448867539702579421145856031216681003570556640625	-1.554678133545325	32.8118231997421	rpl7a;rps6;rplp0;rps2;rps3a;rpsa;rpl24;rpl19;rpl17;rpl8
Cell cycle_WP1393	8/86	0.00000041954696891275680889951660811065803358133052824996411800384521484375	0.0000054541105958658383568750382952572408612468279898166656494140625	0.00036587947117151971287984935088388738222420215606689453125	0.00475643312522975626743804156149053596891462802886962890625	-1.490806527816218	21.89113775370027	pcna;cdc20;plk1;cdk1;ccne2;ccnb1;mcm6;ccnb3
G1 to S cell cycle control_WP445	5/57	0.00008943819039141967758115014941466824893723241984844207763671875	0.000775130983392303854299931753502050923998467624187469482421875	0.006521148623650636390325363578313044854439795017242431640625	0.0565166214049721837842099603221868164837360382080078125	-1.7466941645447058	16.282617992402685	pcna;ccne2;ccnb1;mcm6;cdkn1ca
Neural crest development_WP548	4/58	0.00116874960455903430418811428381786754471249878406524658203125	0.007596872429633722868802525596265695639885962009429931640625	0.03150661274582684800993348517295089550316333770751953125	0.20479298284787450512567374971695244312286376953125	-1.715169017790903	11.58051387677574	msx1b;zic3;zic2b;foxd3
Exercise-induced Circadian Regulation_WP562	3/46	0.005827049290631769462578404272790066897869110107421875	0.0252505469260709998480241011975522269494831562042236328125	0.0694370232861563352333433840612997300922870635986328125	0.36107252108801290990669485836406238377094268798828125	-1.5941610416294343	8.202348382332662	cbx3a;ppp2cb;tubb4b
mRNA processing_WP467	5/120	0.0027275236670344055016357298626417104969732463359832763671875	0.0141831230685789087819781428834176040254533290863037109375	0.094779085618111047484291020737146027386188507080078125	0.410709371011814539098594423194299452006816864013671875	-1.3532138841343448	7.9898635028575375	hnrnpaba;snrpb;snrpf;prmt1;snrnp70
Androgen Receptor Signaling Pathway_WP1348	3/82	0.027652363030177547209564892227717791683971881866455078125	0.1027087769692308916180678579621599055826663970947265625	0.2313531123040325210293843838371685706079006195068359375	0.75189761498810570028439315137802623212337493896484375	-1.6891994174838423	6.060921990877798	prmt1;hmgb2a;cdk1
DNA Replication_WP451	2/36	0.03316471457406644507415194311761297285556793212890625	0.1077853223657159464909938151322421617805957794189453125	0.1698999910628412879365356502603390254080295562744140625	0.63105710966198191869125366793014109134674072265625	-1.2273155793931492	4.180566744094208	pcna;mcm6
BMP signaling pathway_WP211	2/66	0.096943465570521081264843132885289378464221954345703125	0.25205301048335482239082239175331778824329376220703125	0.3877282299829507561383934444165788590908050537109375	0.95643480958435056482613845219020731747150421142578125	-1.4842797359412063	3.4637557119754887	msx1b;ube2s
Glycogen Metabolism_WP1388	1/28	0.20039798103778505566907597312820143997669219970703125	0.434195625581867583608897120939218439161777496337890625	0.43884940965937191403867245753644965589046478271484375	0.95643480958435056482613845219020731747150421142578125	-1.699601917256991	2.732025075523605	ppp2cb
TNF-alpha NF-kB Signaling Pathway_WP1369	3/137	0.0960495492095189973280611184236477129161357879638671875	0.25205301048335482239082239175331778824329376220703125	0.52460979566423959763454831772833131253719329833984375	0.95643480958435056482613845219020731747150421142578125	-1.15063180269456	2.6958049904279346	kpna2;hsp90ab1;rpl8
Endochondral Ossification_WP1383	1/45	0.30202843073108798233050720227765850722789764404296875	0.53315568423771109163311621159664355218410491943359375	0.601425693303449637738822275423444807529449462890625	0.95643480958435056482613845219020731747150421142578125	-1.3978756121667533	1.673584384754753	cdkn1ca
Regulation of Actin Cytoskeleton_WP1380	2/101	0.191794430355140044230921603229944594204425811767578125	0.434195625581867583608897120939218439161777496337890625	0.60805685647609453159390113796689547598361968994140625	0.95643480958435056482613845219020731747150421142578125	-0.9483799473893685	1.5660893546317476	fgfr4;msna
Id Signaling Pathway_WP1374	1/46	0.307589817829448719521678867749869823455810546875	0.53315568423771109163311621159664355218410491943359375	0.60939717943880733486139433807693421840667724609375	0.95643480958435056482613845219020731747150421142578125	-1.1574117239814963	1.3645747001658513	her6
Noncanonical Wnt Pathway_WP215	2/135	0.29135104404277012424273607393843121826648712158203125	0.53315568423771109163311621159664355218410491943359375	0.7610583363807188472804909906699322164058685302734375	0.95643480958435056482613845219020731747150421142578125	-0.927294884747647	1.1435645342488123	cfl1;tmsb4x
G Protein Signaling Pathways_WP1371	1/61	0.38591547455911356934166178689338266849517822265625	0.578201115861622927383223213837482035160064697265625	0.71182123520867346400109454407356679439544677734375	0.95643480958435056482613845219020731747150421142578125	-1.0666693733809687	1.015615282573349	akap12b
IL-6 Signaling Pathway_WP1322	1/81	0.476817578918995288450588532214169390499591827392578125	0.578201115861622927383223213837482035160064697265625	0.80848854473823161814749482800834812223911285400390625	0.95643480958435056482613845219020731747150421142578125	-0.9594036658370133	0.710554785777299	ppp2cb
Wnt Signaling Pathway and Pluripotency_WP1344	1/72	0.437696776394787823161180995157337747514247894287109375	0.578201115861622927383223213837482035160064697265625	0.76972321316622938081053462155978195369243621826171875	0.95643480958435056482613845219020731747150421142578125	-0.766871368808058	0.6336112872510503	ppp2cb
Apoptosis_WP1351	1/69	0.42402111726898639165739268719335086643695831298828125	0.578201115861622927383223213837482035160064697265625	0.75517026531610065287480892948224209249019622802734375	0.95643480958435056482613845219020731747150421142578125	-0.7242314167931161	0.6213702916936359	hells
Delta-Notch Signaling Pathway_WP1382	1/65	0.405271489522482875056397233493044041097164154052734375	0.578201115861622927383223213837482035160064697265625	0.73435941249320590973326261519105173647403717041015625	0.95643480958435056482613845219020731747150421142578125	-0.631834020929033	0.5706712821360884	her6
MAPK Signaling Pathway_WP1337	2/203	0.481316273534236171993683228720328770577907562255859375	0.578201115861622927383223213837482035160064697265625	0.9214822985941666377840419954736717045307159423828125	0.95643480958435056482613845219020731747150421142578125	-0.4453619141610467	0.3256623005138547	stmn1a;fgfr4
T Cell Receptor Signaling Pathway_WP1345	1/84	0.4892470980367578103908954290091060101985931396484375	0.578201115861622927383223213837482035160064697265625	0.8199313244105741471656756402808241546154022216796875	0.95643480958435056482613845219020731747150421142578125	-0.4420462190797209	0.316013362493076	ncl
