Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Calcium Regulation in the Cardiac Cell_WP1365	9/119	0.00024815010776713737790377667380425918963737785816192626953125	0.004963002155342747558075533476085183792747557163238525390625	0.00000339187237915501375100607410473241287718337844125926494598388671875	0.000067837447583100269937923798568846223133732564747333526611328125	-1.5500856026813261	12.867999547221796	rgs2;gngt1;camk2d1;itpr3;atp2a3;adrb3a;cacnb1;rgs6;chrm2b
Endochondral Ossification_WP1383	3/45	0.04393400686223382367590062358431168831884860992431640625	0.43934006862233820900343062021420337259769439697265625	0.01381077167376795235276265572110787616111338138580322265625	0.13810771673767952005817960525746457278728485107421875	-1.9278758442678918	6.024740438778824	scin;tgfb2;mgp
Hypertrophy Model_WP1327	1/15	0.2327308186437783421585123733166255988180637359619140625	0.89297434095990879665549755372921936213970184326171875	0.1593149527500727635764832257336820475757122039794921875	0.53593464596396989119142517665750347077846527099609375	-2.8057513608751514	4.090428531033062	dusp14
Glycolysis and Gluconeogenesis_WP1356	2/47	0.1986536268532611282378042005802853964269161224365234375	0.89297434095990879665549755372921936213970184326171875	0.096030579526213077912188964546658098697662353515625	0.53593464596396989119142517665750347077846527099609375	-1.8705479524326551	3.0231656452811784	pfkpa;gck
Neural crest development_WP548	2/58	0.26979701643859754778276283104787580668926239013671875	0.89297434095990879665549755372921936213970184326171875	0.134669567302818038445622050858219154179096221923828125	0.53593464596396989119142517665750347077846527099609375	-1.6410476254922468	2.1499125245045296	aox5;kita
p38 MAPK Signaling Pathway_WP1363	1/33	0.441825480428977790392508495642687194049358367919921875	0.89297434095990879665549755372921936213970184326171875	0.30941725295990984978544702244107611477375030517578125	0.6573556699136389180893047523568384349346160888671875	-1.8920204769734035	1.5454786034057717	tgfb2
Monoamine GPCRs_WP1389	1/28	0.39023103499617894929230033085332252085208892822265625	0.89297434095990879665549755372921936213970184326171875	0.270525152934624035783173212621477432548999786376953125	0.6573556699136389180893047523568384349346160888671875	-1.5977437994100827	1.5035029869572827	adrb3a
IL-7 Signaling Pathway_WP1346	1/35	0.461222851458916505151819364982657134532928466796875	0.89297434095990879665549755372921936213970184326171875	0.32440991932585350188134043492027558386325836181640625	0.6573556699136389180893047523568384349346160888671875	-1.6871543857729088	1.3056448186301643	foxo1a
Transformation Growth Factor (TGF) beta Receptor Signaling Pathway_WP1367	3/127	0.384010436655475795308944952921592630445957183837890625	0.89297434095990879665549755372921936213970184326171875	0.160780393789190956255197306745685636997222900390625	0.53593464596396989119142517665750347077846527099609375	-1.306435970720363	1.2503709869291184	hnf4a;tgfb2;foxo1a
Kit Receptor Signaling Pathway_WP1341	1/46	0.556496767887451948553234615246765315532684326171875	0.89297434095990879665549755372921936213970184326171875	0.4014442497960828415415335257421247661113739013671875	0.6573556699136389180893047523568384349346160888671875	-1.5002364582755627	0.8792794610755114	mitfb
Estrogen Signaling_WP1330	1/61	0.65992331545344085075299744858057238161563873291015625	0.89297434095990879665549755372921936213970184326171875	0.49301675243522924407812979552545584738254547119140625	0.6573556699136389180893047523568384349346160888671875	-1.302191732451809	0.5412320845968188	gngt1
G Protein Signaling Pathways_WP1371	1/61	0.65992331545344085075299744858057238161563873291015625	0.89297434095990879665549755372921936213970184326171875	0.49301675243522924407812979552545584738254547119140625	0.6573556699136389180893047523568384349346160888671875	-1.1684346180985044	0.4856383958741996	gngt1
ERK1 - ERK2 MAPK cascade_WP402	2/126	0.6501511802925745708847671266994439065456390380859375	0.89297434095990879665549755372921936213970184326171875	0.404274810123491923352645471823052503168582916259765625	0.6573556699136389180893047523568384349346160888671875	-1.0554038248552122	0.45440449470056427	tgfb2;map4k2
EGFR1 Signaling Pathway_WP1323	2/135	0.68699900096167365592947362529230304062366485595703125	0.89297434095990879665549755372921936213970184326171875	0.43875632958880828038417121206293813884258270263671875	0.6573556699136389180893047523568384349346160888671875	-0.8776012947335953	0.3294712202630226	mcf2a;foxo1a
IL-6 Signaling Pathway_WP1322	1/81	0.7613943490077594855591769373859278857707977294921875	0.89297434095990879665549755372921936213970184326171875	0.5944032300570614157919635545113123953342437744140625	0.6992979177141898095015903891180641949176788330078125	-1.114688855883468	0.30386848136349	foxo1a
MAPK Signaling Pathway_WP1337	3/203	0.69265605514000438969191009164205752313137054443359375	0.89297434095990879665549755372921936213970184326171875	0.38406891597984416097943949353066273033618927001953125	0.6573556699136389180893047523568384349346160888671875	-0.6987684087050278	0.25660293407922574	ntf3;tgfb2;cacnb1
IL-3 Signaling Pathway_WP1359	1/75	0.7346213821127467458182991322246380150318145751953125	0.89297434095990879665549755372921936213970184326171875	0.56623437024296385811084064698661677539348602294921875	0.6992979177141898095015903891180641949176788330078125	-0.7868579905882342	0.2426670348823371	foxo1a
Adipogenesis_WP1331	1/92	0.80367690686391790588771755210473202168941497802734375	0.89297434095990879665549755372921936213970184326171875	0.64154963375410500869833185788593254983425140380859375	0.712832926393450083679681483772583305835723876953125	-0.8092690435123535	0.17687218129029159	foxo1a
Noncanonical Wnt Pathway_WP215	1/135	0.90850841002357107800690982912783510982990264892578125	0.9323780663237943855392586556263267993927001953125	0.78018207290621355287640881215338595211505889892578125	0.81930538103510686109842708901851437985897064208984375	-0.6502147399027325	0.062388841731951805	quo
Canonical wnt signaling_WP566	1/152	0.9323780663237943855392586556263267993927001953125	0.9323780663237943855392586556263267993927001953125	0.81930538103510686109842708901851437985897064208984375	0.81930538103510686109842708901851437985897064208984375	-0.4239263699303603	0.029682008550188134	pitx2
