Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Z-score	Combined Score	Genes
Heme Biosynthesis_WP1314	6/9	0.0000000012440649475114714528486235738482558466078131687027052976191043853759765625	0.0000000435422731629015002293163656699181984777169418521225452423095703125	0.0000000466789899357078640899619830124944730442848594975657761096954345703125	0.000001633764647749775256383559206285749354492509155534207820892333984375	-3.5652268431040484	73.10455442113421	alad;urod;cpox;fech;alas2;ppox
Kit Receptor Signaling Pathway_WP1341	6/46	0.0000845113585950739952534771504133459529839456081390380859375	0.00147894877541379491693585013223355417721904814243316650390625	0.000124057531562063905368475946744410975952632725238800048828125	0.002171006802336118181318003195201526978053152561187744140625	-2.065297271185379	19.36964781737868	lyn;epor;ptpn6;grapa;btk;inpp5d
Keap1-Nrf2_WP1332	2/13	0.01750982077755580679223612605710513889789581298828125	0.10214062120240886832878146606162772513926029205322265625	0.02250026378437168517177013882246683351695537567138671875	0.131251538742168161189027841828647069633007049560546875	-2.7437952679164295	11.098633662339461	nfe2l2a;mafa
IL-3 Signaling Pathway_WP1359	6/75	0.00123624368953948425564615121174938394688069820404052734375	0.01442284304462731515938944681920474977232515811920166015625	0.00141509986244756666255717458824392451788298785686492919921875	0.0165094983952216133038515266662216163240373134613037109375	-1.5722056971254357	10.526982751138048	lyn;ptpn6;spi1b;pik3cd;gata1a;inpp5d
IL-5 Signaling Pathway_WP1315	4/49	0.00757363607555919769731556101532987668178975582122802734375	0.05301545252891438908537935503773042000830173492431640625	0.0089502533005073325877987144849612377583980560302734375	0.0626517731035513281145910013947286643087863922119140625	-2.1039920847148856	10.273965876657163	lyn;itgb2;ptpn6;btk
ACE Inhibitor Pathway_WP468	1/8	0.12036190693315108879435371136423782445490360260009765625	0.42126667426602881771913189368206076323986053466796875	0.1340073089177213905287544548627920448780059814453125	0.463171799135394801627541028210544027388095855712890625	-4.347905534448924	9.20561248762437	agtr2
IL-4 signaling Pathway_WP1376	4/45	0.005595851175859247080002223384553872165270149707794189453125	0.0489636977887684121668598891119472682476043701171875	0.006775285387332022173090262384675952489487826824188232421875	0.059283747139155192062975885392006603069603443145751953125	-1.6868087472458517	8.747334416621648	ptpn6;spi1b;pik3cd;inpp5d
T Cell Receptor Signaling Pathway_WP1345	4/84	0.04497413906466989075294549138561706058681011199951171875	0.2248706953233494676425152647425420582294464111328125	0.0480920601878548070740038156145601533353328704833984375	0.2404603009392740353700190780728007666766643524169921875	-1.6654213641342988	5.165583555197236	lyn;ptpn6;grapa;ptprja
IL-2 Signaling Pathway_WP1319	3/59	0.06752928160073097541005182620210689492523670196533203125	0.295440607003198019153700215611024759709835052490234375	0.07295964721616861325959035866617341525852680206298828125	0.317146863447951121717238720520981587469577789306640625	-1.569282215752561	4.229519970893234	lyn;ptpn6;pik3cd
IL-6 Signaling Pathway_WP1322	3/81	0.1384540721984352240614413176444941200315952301025390625	0.440535684267748417486387779717915691435337066650390625	0.1455682797282669416194522682417300529778003692626953125	0.463171799135394801627541028210544027388095855712890625	-1.4252592359763778	2.818046244940304	lyn;btk;inpp5d
